idpopulation	idplant	idfruit	visit_number	idfruit_visit	ripening_stage	aspect	diameter_mm	mass_g	seedn_obs	seedn_pred	seedn_rem
La_Plata	LP1	LP1_1	1	LP1_1_1	ripe	intact	22.38	4.1	25	NA	NA
La_Plata	LP1	LP1_1	2	LP1_1_2	ripe	slightly_pecked	33.51	1.2	58	89	31
La_Plata	LP1	LP1_2	1	LP1_2_1	ripe	intact	NA	15.9	197	NA	NA
La_Plata	LP10	LP10_1	1	LP10_1_1	ripe	intact	28.84	NA	114	NA	NA
La_Plata	LP10	LP10_2	1	LP10_2_1	ripe	intact	30.43	6.9	99	NA	NA
La_Plata	LP10	LP10_3	1	LP10_3_1	ripe	intact	30.34	6.3	94	NA	NA
La_Plata	LP10	LP10_6	1	LP10_6_1	ripe	slightly_pecked	27.26	4.9	70	84	14
La_Plata	LP10	LP10_7	1	LP10_7_1	ripe	slightly_pecked	29.19	2	0	98	98
La_Plata	LP10	LP10_8	1	LP10_8_1	ripe	slightly_pecked	23.05	0.6	3	60	57
La_Plata	LP11	LP11_1	1	LP11_1_1	ripe	intact	32.93	14.3	287	NA	NA
La_Plata	LP11	LP11_1	3	LP11_1_3	ripe	highly_pecked	32.93	0.6	0	200	200
La_Plata	LP11	LP11_2	1	LP11_2_1	ripe	intact	19.23	2.7	43	NA	NA
La_Plata	LP11	LP11_2	3	LP11_2_3	ripe	highly_pecked	23.39	0.6	0	93	93
La_Plata	LP11	LP11_3	1	LP11_3_1	ripe	intact	39.52	20.1	370	NA	NA
La_Plata	LP11	LP11_6	1	LP11_6_1	ripe	slightly_pecked	33.41	8.1	153	208	55
La_Plata	LP12	LP12_1	1	LP12_1_1	ripe	intact	33.28	10.9	189	NA	NA
La_Plata	LP12	LP12_1	2	LP12_1_2	ripe	slightly_pecked	28.4	6.3	122	137	15
La_Plata	LP12	LP12_1	3	LP12_1_3	ripe	slightly_pecked	23.45	4.9	154	92	0
La_Plata	LP12	LP12_10	1	LP12_10_1	ripe	slightly_pecked	19.54	0.3	1	67	66
La_Plata	LP12	LP12_2	1	LP12_2_1	ripe	intact	32.54	9	180	NA	NA
La_Plata	LP12	LP12_2	2	LP12_2_2	ripe	slightly_pecked	20.79	0.7	38	74	36
La_Plata	LP12	LP12_2	3	LP12_2_3	ripe	slightly_pecked	20.08	1.1	16	70	54
La_Plata	LP12	LP12_3	1	LP12_3_1	ripe	intact	32.42	10.6	194	NA	NA
La_Plata	LP12	LP12_3	2	LP12_3_2	ripe	slightly_pecked	24.05	1	7	97	90
La_Plata	LP12	LP12_3	3	LP12_3_3	ripe	slightly_pecked	23.62	0.5	1	93	92
La_Plata	LP12	LP12_4	1	LP12_4_1	ripe	intact	30.86	10.7	192	NA	NA
La_Plata	LP12	LP12_4	2	LP12_4_2	ripe	slightly_pecked	22.58	1.4	64	86	22
La_Plata	LP12	LP12_4	3	LP12_4_3	ripe	slightly_pecked	21.02	3	172	76	0
La_Plata	LP12	LP12_5	1	LP12_5_1	ripe	intact	22.29	5.2	98	NA	NA
La_Plata	LP12	LP12_5	2	LP12_5_2	ripe	slightly_pecked	24.87	2.9	127	103	0
La_Plata	LP12	LP12_5	3	LP12_5_3	ripe	slightly_pecked	22.12	3.3	130	83	0
La_Plata	LP12	LP12_6	1	LP12_6_1	ripe	slightly_pecked	24.4	1.9	77	99	22
La_Plata	LP12	LP12_7	1	LP12_7_1	ripe	slightly_pecked	19.67	0.4	8	68	60
La_Plata	LP12	LP12_8	1	LP12_8_1	ripe	slightly_pecked	20.23	1.5	51	71	20
La_Plata	LP12	LP12_9	1	LP12_9_1	ripe	slightly_pecked	18.01	0.1	0	59	59
La_Plata	LP13	LP13_1	1	LP13_1_1	ripe	intact	25.86	15.6	200	NA	NA
La_Plata	LP13	LP13_1	2	LP13_1_2	ripe	slightly_pecked	28.31	1.3	26	213	187
La_Plata	LP13	LP13_1	3	LP13_1_3	ripe	slightly_pecked	29.94	0.8	0	243	243
La_Plata	LP13	LP13_10	1	LP13_10_1	ripe	slightly_pecked	24.64	1.1	45	158	113
La_Plata	LP13	LP13_2	1	LP13_2_1	ripe	intact	24.09	13	184	NA	NA
La_Plata	LP13	LP13_2	2	LP13_2_2	ripe	slightly_pecked	26.88	0.5	0	190	190
La_Plata	LP13	LP13_2	3	LP13_2_3	ripe	slightly_pecked	27.56	0.8	9	200	191
La_Plata	LP13	LP13_3	1	LP13_3_1	ripe	intact	23.88	15	203	NA	NA
