idpopulation	idplant	visit_number	date	fruit_crop	npecked_fruits	seed_rem
La_Plata	LP1	1	12-Dec-2020	2	0	0
La_Plata	LP1	2	4-Jan-2021	0	1	31
La_Plata	LP1	3	21-Jan-2021	0	0	0
La_Plata	LP10	1	16-Dec-2020	2	1	0
La_Plata	LP10	2	4-Jan-2021	0	0	0
La_Plata	LP10	3	21-Jan-2021	0	0	0
La_Plata	LP11	1	16-Dec-2020	2	1	0
La_Plata	LP11	2	4-Jan-2021	0	0	0
La_Plata	LP11	3	21-Jan-2021	2	2	293
La_Plata	LP12	1	14-Dec-2020	81	9	0
La_Plata	LP12	2	4-Jan-2021	50	13	293
La_Plata	LP12	3	21-Jan-2021	39	9	29
La_Plata	LP13	1	11-Dec-2020	288	60	0
La_Plata	LP13	2	4-Jan-2021	248	124	11357
La_Plata	LP13	3	21-Jan-2021	104	99	0
La_Plata	LP14	1	11-Dec-2020	23	4	0
La_Plata	LP14	2	4-Jan-2021	56	13	705
La_Plata	LP14	3	21-Jan-2021	25	15	274
La_Plata	LP15	1	11-Dec-2020	62	7	0
La_Plata	LP15	2	4-Jan-2021	40	12	286
La_Plata	LP15	3	21-Jan-2021	8	2	0
La_Plata	LP25	1	11-Dec-2020	30	6	0
La_Plata	LP25	2	4-Jan-2021	13	3	257
La_Plata	LP25	3	21-Jan-2021	1	1	0
La_Plata	LP26	1	16-Dec-2020	22	1	0
La_Plata	LP26	2	4-Jan-2021	0	0	0
La_Plata	LP26	3	21-Jan-2021	4	0	0
La_Plata	LP33	1	13-Dec-2020	139	4	0
La_Plata	LP33	2	5-Jan-2021	55	11	147
La_Plata	LP33	3	22-Jan-2021	42	4	0
La_Plata	LP36	1	14-Dec-2020	96	27	0
La_Plata	LP36	2	4-Jan-2021	79	13	0
La_Plata	LP36	3	21-Jan-2021	14	7	1300
La_Plata	LP37	1	11-Dec-2020	15	1	0
La_Plata	LP37	2	4-Jan-2021	48	26	4342
La_Plata	LP37	3	21-Jan-2021	32	11	0
La_Plata	LP39	1	14-Dec-2020	4	1	0
La_Plata	LP39	2	4-Jan-2021	5	4	420
La_Plata	LP39	3	21-Jan-2021	1	0	0
La_Plata	LP4	1	11-Dec-2020	16	5	0
La_Plata	LP4	2	4-Jan-2021	119	20	1175
La_Plata	LP4	3	21-Jan-2021	24	14	41
La_Plata	LP40	1	14-Dec-2020	25	11	0
La_Plata	LP40	2	4-Jan-2021	0	0	0
La_Plata	LP40	3	21-Jan-2021	0	0	0
La_Plata	LP41	1	11-Dec-2020	28	6	0
La_Plata	LP41	2	4-Jan-2021	29	12	684
La_Plata	LP41	3	21-Jan-2021	8	2	0
La_Plata	LP42	1	11-Dec-2020	86	14	0
La_Plata	LP42	2	4-Jan-2021	26	11	6
La_Plata	LP42	3	21-Jan-2021	7	3	0
La_Plata	LP43	1	15-Dec-2020	8	2	0
La_Plata	LP43	2	4-Jan-2021	3	1	64
La_Plata	LP43	3	21-Jan-2021	0	0	0
La_Plata	LP48	1	16-Dec-2020	48	22	0
La_Plata	LP48	2	4-Jan-2021	16	6	0
La_Plata	LP48	3	21-Jan-2021	9	2	97
La_Plata	LP5	1	11-Dec-2020	106	5	0
La_Plata	LP5	2	4-Jan-2021	69	11	358
La_Plata	LP5	3	21-Jan-2021	13	2	212
La_Plata	LP51	1	14-Dec-2020	23	6	0
La_Plata	LP51	2	4-Jan-2021	3	1	0
La_Plata	LP51	3	21-Jan-2021	4	0	0
La_Plata	LP52	1	14-Dec-2020	9	2	0
La_Plata	LP52	2	4-Jan-2021	6	2	0
La_Plata	LP52	3	21-Jan-2021	4	3	227
La_Plata	LP53	1	14-Dec-2020	33	5	0
La_Plata	LP53	2	4-Jan-2021	10	3	214
La_Plata	LP53	3	21-Jan-2021	2	2	111
La_Plata	LP6	1	11-Dec-2020	42	9	0
La_Plata	LP6	2	4-Jan-2021	36	22	768
La_Plata	LP6	3	21-Jan-2021	21	13	0
