idpopulation	idplant	xseedn	xdiam	fruit.crop	fruits.removed	xseeds.removed
La_Plata	LP1	111	22.38	5	0	10.33
La_Plata	LP10	102.3	29.87	7	1	18.78
La_Plata	LP11	233.3	30.56	5	0	67.17
La_Plata	LP12	170.6	30.28	113	9	35.73
La_Plata	LP13	155.6	22.93	417	60	183.47
La_Plata	LP14	169.4	30.39	98	4	45.47
La_Plata	LP15	71	25.11	142	7	25.07
La_Plata	LP25	138.6	33.36	56	6	37.58
La_Plata	LP26	72.8	29.54	30	0	7.67
La_Plata	LP33	110.8	32.62	261	4	21.92
La_Plata	LP36	94	33.13	172	27	31.53
La_Plata	LP37	220.2	38.94	86	1	96.4
La_Plata	LP39	213.6	36.49	19	0	39
La_Plata	LP4	63.4	25.65	26	5	42.98
La_Plata	LP40	175	34.34	73	11	36.6
La_Plata	LP41	187	35.67	64	6	76.03
La_Plata	LP42	143.2	32.76	169	14	41.51
La_Plata	LP43	94.2	27.44	12	2	21.44
La_Plata	LP48	147.2	38.14	85	22	70.48
La_Plata	LP5	134.8	32.36	176	5	70.07
La_Plata	LP51	286.6	37.83	50	6	70.3
La_Plata	LP52	234.7	33.05	35	2	75.47
La_Plata	LP53	85	26.27	68	5	65.54
La_Plata	LP6	184.4	31.89	92	9	92.77
La_Plata	LP8	209.6	42.3	58	7	104.25
Santa_Fe	SFE1	219.4	40.03	35	7	126.93
Santa_Fe	SFE10	260	39.72	129	11	220.6
Santa_Fe	SFE11	219.6	39.54	130	5	128.13
Santa_Fe	SFE12	195.6	39.34	56	10	148.6
Santa_Fe	SFE13	236.2	34.68	63	10	212.27
Santa_Fe	SFE14	191.6	37.5	39	16	156.97
Santa_Fe	SFE15	167.8	36.95	49	10	126.8
Santa_Fe	SFE16	193.6	35.95	49	10	167.37
Santa_Fe	SFE17	202.4	38.55	69	7	252.73
Santa_Fe	SFE18	95.4	39.84	60	14	18.47
Santa_Fe	SFE19	194.6	40.93	32	8	214.33
Santa_Fe	SFE2	199.2	39.17	71	31	192.7
Santa_Fe	SFE20	182	38.53	18	5	90.4
Santa_Fe	SFE21	210	39.95	35	8	109.02
Santa_Fe	SFE22	219.2	39.52	25	7	88.87
Santa_Fe	SFE23	169.8	38.06	23	8	170
Santa_Fe	SFE24	223.4	40.09	23	5	347.42
Santa_Fe	SFE25	223.8	33.4	33	10	142.9
Santa_Fe	SFE26	186.6	38.87	41	21	127.2
Santa_Fe	SFE27	189	36.92	6	3	145.73
Santa_Fe	SFE28	109.8	34.64	6	3	150.89
Santa_Fe	SFE29	234.2	41.02	4	2	179.44
Santa_Fe	SFE3	212.2	39.59	18	9	255.04
Santa_Fe	SFE4	242	41.79	50	9	138.8
Santa_Fe	SFE5	198.4	38.5	69	16	157.4
Santa_Fe	SFE6	133.2	34.74	69	16	134.6
Santa_Fe	SFE7	207.2	38.13	49	17	142.7
Santa_Fe	SFE8	199.4	38.26	42	13	172.3
Santa_Fe	SFE9	195.8	37.38	38	7	144.6
Tucuman	TU101	145.9	32.5	54	3	63.5
Tucuman	TU102	153.5	35.49	5	1	83.33
Tucuman	TU103	118.3	33.48	24	0	25.92
Tucuman	TU106	113.2	36.62	33	12	10.92
Tucuman	TU107	131	29.52	21	3	0
Tucuman	TU11	71.7	31.3	6	1	0
Tucuman	TU112	103.5	31.56	1	0	0
Tucuman	TU114	127.7	36.69	60	15	44.28
Tucuman	TU119	94.3	31.95	281	3	44.5
Tucuman	TU120	151.3	34.06	116	8	25.5
Tucuman	TU16	56.2	32.28	31	0	0
Tucuman	TU2	27.7	27.65	10	0	0
Tucuman	TU30	169.5	37.49	11	0	66.17
Tucuman	TU36	0.6	21.49	52	0	0
Tucuman	TU56	183	45.67	14	7	66.39
Tucuman	TU57	183	39.07	11	0	17.83
Tucuman	TU58	66	27.55	15	1	18.5
Tucuman	TU60	79	31.59	60	15	56.55
Tucuman	TU61	10.3	23	2	0	0
Tucuman	TU9	90.4	35.05	3	1	0
